oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Voted	0.6994	1	1	999999999	12155	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20129999	1	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.7164	1	1	999999999	12162	DEM	Complete	1	2. Registered at a different address	-1. Inapplicable	20029999	1	1	0	0	1	0	match	mismatch	1	0	1	1	active	NA	19027	NA	TRUE
0	Voted	2.0406	1	1	999999999	12170	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	19919999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Not voted	1.6564	1	1	999999999	10036	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	0	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	"Not voted, unregistered"	2.392	3	3	XX-999900000000000	10032	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	1	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	2.392	3	3	XX-999900000000000	10032	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	1.4481	3	3	XX-999900000000000	10041	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	1.4596	1	1	999999999	20011	REP	Complete	1	1. Registered at this address	-1. Inapplicable	19879999	1	1	1	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.5022	1	1	999999999	10042	UNK	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	1	0	match	mismatch	1	0	1	1	unregistered	NA	NA	NA	NA
0	Voted	1.851	1	1	999999999	10039	IND	Complete	1	1. Registered at this address	-1. Inapplicable	19929999	1	1	1	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.8686	1	1	999999999	20010	REP	Complete	1	1. Registered at this address	-1. Inapplicable	19809999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.9194	1	1	999999999	10038	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20079999	1	1	1	0	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	2.4373	2	2	XXXXX9999999	10034	NA	Complete	1	1. Registered at this address	-1. Inapplicable	19959999	1	1	1	1	1	NA	match	match	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	2.4373	2	2	XXXXX9999999	10034	NA	Complete	1	1. Registered at this address	-1. Inapplicable	19959999	1	1	1	1	0	NA	match	mismatch	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	2.5067	1	1	999999999	10029	REP	Complete	1	1. Registered at this address	-1. Inapplicable	19829999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
